"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"2025061900000021","2023102700000007","上海奔腾电工有限公司","普通流动资金贷款","表内",2025-06-19,2026-06-19,7.5,50000000,50000000,"保证","一般贷款",0,"1-正常","张天竹（客户经理）","一般贷款","","上海市松江区","上海市松江区","上海市松江区","上海市松江区","",2025-06-21,"公司业务一部",,0E-20,"310017471724"
"PJ20251225000003","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-25,2026-06-25,100,10000000,10000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"PJ20251224000009","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-24,2026-06-24,100,20000000,20000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"PJ20251126000015","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2026030600000057","2022101200000003","上海凡川物资贸易有限公司","普通流动资金贷款","表内",2026-03-06,2026-06-04,6.1,1508110,108896,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-04,"公司业务三部",,1399214.000000000000,"310014541726"
"2025061300000022","2023021400000001","江苏欧廷高分子材料有限公司","反向保理","表内",2025-06-13,2026-06-13,5,285309.32,285309.32,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省宿迁市泗阳县","江苏省宿迁市泗阳县","江苏省宿迁市泗阳县","江苏省宿迁市泗洪县","",2026-06-13,"公司业务三部",,0E-20,"320015321044"
"2025052600000042","2023022200000003","苏州志帆塑胶材料有限公司","反向保理","表内",2025-05-26,2026-05-26,5,180000,180000,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省苏州市吴中区","江苏省苏州市吴中区","江苏省苏州市吴中区","江苏省苏州市吴中区","",2026-05-26,"公司业务三部",,0E-20,"320015338057"
"2025060600000018","2023022200000008","无锡市岁丰新材料有限公司","反向保理","表内",2025-06-06,2026-06-06,5,427830,427830,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2026-06-06,"公司业务三部",,0E-20,"320015338194"
"PJ20251211000002","2023041800000003","上海珺驰国际贸易有限公司","银行承兑汇票","表外",2025-12-11,2026-06-11,100,10000000,10000000,"","票据",0,"1-正常","倪文蕾（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"310015554133"
"2025020800000001","2025012200000004","上海晟隆浦华大酒店有限公司","普通流动资金贷款","表内",2025-02-08,2028-01-20,4.8,450000,450000,"保证","一般贷款",0,"1-正常","李檩","一般贷款","","上海市虹口区","上海市虹口区","上海市虹口区","上海市虹口区","",2025-03-21,"市场营销三部",,0E-20,"310021394443"
"2025071400000023","2025012200000004","上海晟隆浦华大酒店有限公司","普通流动资金贷款","表内",2025-07-14,2028-01-20,4.8,640000,640000,"保证","一般贷款",0,"1-正常","李檩","一般贷款","","上海市虹口区","上海市虹口区","上海市虹口区","上海市虹口区","",2025-09-21,"市场营销三部",,0E-20,"310021394443"
"2025091600000025","2015121800000001","上海华馨节能科技有限公司","普通流动资金贷款","表内",2025-09-16,2028-09-16,17.5,24000000,24000000,"保证,抵押,质押","一般贷款",0,"1-正常","杨炳华","一般贷款","","上海市虹口区","上海市虹口区","上海市虹口区","上海市虹口区","",2025-09-21,"法律合规部",,0E-20,"200000019959"
"PJ20251225000004","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-25,2026-06-25,100,10000000,10000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"PJ20251226000015","2023120100000004","上海联表黄金制品有限公司","银行承兑汇票","表外",2025-12-26,2026-06-26,100,100000000,100000000,"","票据",0,"1-正常","尹筱玲（客户经理）","","","上海市青浦区","上海市青浦区","上海市青浦区","上海市青浦区","",,"公司业务三部",,0E-20,"310017841882"
"2026011400000046","2024090500000155","美嘉世基精工金属材料（苏州）有限公司","反向保理","表内",2026-01-14,2027-01-14,3.95,10000000,10000000,"","贸易融资",0,"1-正常","周鑫（客户经理）","线上供应链-瑞e保","上海中振交通装备有限公司","江苏省苏州市张家港市","江苏省苏州市张家港市","江苏省苏州市张家港市","江苏省苏州市张家港市","",2027-01-14,"公司业务一部",,0E-20,"320021262663"
"PJ20251222000005","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-22,2026-06-22,100,10000000,10000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"PJ20231214002750","2023121100000007","上海祎易贸易有限公司","银行承兑汇票","表外",2023-12-14,2024-06-14,100,50000,50000,"","票据",0,"1-正常","佟晨曦（客户经理）","","","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",,"供应链金融部",2024-06-14,0E-20,"320017777018"
"PJ20251225000001","2024080100000177","上海才宥国际贸易有限公司","银行承兑汇票","表外",2025-12-25,2026-06-25,100,100000000,100000000,"","票据",0,"1-正常","倪文蕾（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"310020240737"
"PJ20251226000014","2024112000000119","上海鼎轩机械有限公司","银行承兑汇票","表外",2025-12-26,2026-06-26,100,50000000,50000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",,"公司业务一部",,0E-20,"310021013169"
"PJ20251211000009","2024112000000119","上海鼎轩机械有限公司","银行承兑汇票","表外",2025-12-11,2026-06-11,100,30000000,30000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",,"公司业务一部",,0E-20,"310021013169"
"2026011400000042","2024112900000115","上海七个四贸易有限公司","普通流动资金贷款","表内",2026-01-14,2027-01-14,5.4,3250000,3250000,"","一般贷款",0,"1-正常","叶峰睿","房抵贷","","","上海市宝山区","","上海市宝山区","",2026-01-21,"普惠业务一部",,0E-20,"310021152134"
"2025051300000021","2025041600000002","铃耀信息技术（上海）有限责任公司","普通流动资金贷款","表内",2025-05-13,2026-05-13,3.5,3000000,3000000,"","一般贷款",0,"1-正常","陈雄","一般贷款","","上海市普陀区","上海市普陀区","上海市普陀区","上海市普陀区","",2025-06-21,"公司业务四部",,0E-20,"310006334932"
"2025072900000041","2025042300000004","上海六感科技有限公司","普通流动资金贷款","表内",2025-07-29,2026-07-29,4.5,5000000,5000000,"","一般贷款",0,"1-正常","陈磊","一般贷款","","上海市虹口区","上海市虹口区","上海市虹口区","上海市虹口区","",2025-09-21,"市场营销三部",,0E-20,"310023104872"
"2026032400000083","2022020900000158","上海红创网络科技有限公司","普通流动资金贷款","表内",2026-03-24,2027-03-24,4.5,83000000,83000000,"抵押","一般贷款",0,"1-正常","陈雄","一般贷款","","上海市杨浦区","上海市杨浦区","上海市杨浦区","上海市杨浦区","",2026-06-21,"公司业务四部",,0E-20,"310013157130"
"2026031600000222","2022031500000051","上海万博瑞实业有限公司","普通流动资金贷款","表内",2026-03-16,2026-06-14,6.1,907272,674644.5,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-14,"公司业务三部",,232627.500000000000,"310013218876"
"2023112700000017","2019082600000056","上海闵商联融资租赁有限公司","普通流动资金贷款","表内",2023-11-27,2024-11-27,6.9,45000000,45000000,"","一般贷款",520,"5-损失","吴一彬","一般贷款","","上海市闵行区","上海市闵行区","上海市闵行区","上海市闵行区","",2023-12-21,"公司业务二部",,0E-20,"200002644439"
"PJ20251127000005","2023071400000004","上海熠博贸易有限公司","银行承兑汇票","表外",2025-11-27,2026-05-27,100,10000000,10000000,"","票据",0,"1-正常","徐淑颖","","","上海市金山区","上海市金山区","上海市金山区","上海市金山区","",,"公司业务四部",,0E-20,"310015982705"
"PJ20251223000016","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-23,2026-06-23,100,10000000,10000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"2024093000000068","2024092300000029","山东友圳商业管理有限公司","普通流动资金贷款","表内",2024-09-30,2027-09-30,6.5,7000000,7000000,"保证,质押","一般贷款",0,"1-正常","周翔","瑞e惠-洲际","六洲酒店管理（上海）有限公司","山东省临沂市河东区","山东省临沂市河东区","山东省临沂市河东区","山东省临沂市河东区","",2024-10-21,"供应链金融部",,0E-20,"320020522581"
"2026012700000043","2021021000000444","安徽维尔特仪表线缆有限公司","反向保理","表内",2026-01-27,2027-01-27,5,3373468.31,3373468.31,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","",2027-01-27,"公司业务三部",,0E-20,"320007801357"
"2026022700000037","2020091100000180","上海珩琰实业有限公司","普通流动资金贷款","表内",2026-02-27,2026-05-28,6.1,478204.32,478204.32,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市崇明区","上海市崇明区","上海市崇明区","上海市崇明区","",2026-05-28,"公司业务三部",,0E-20,"310006417514"
"2026030900000218","2020111900000427","上海兵正供应链管理有限公司","普通流动资金贷款","表内",2026-03-09,2026-06-07,6.1,65573.76,65573.76,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-07,"公司业务三部",,0E-20,"310007299353"
"2025071000000022","2021111800000464","盐城市瑞龙塑业有限公司","反向保理","表内",2025-07-10,2026-07-10,5,1909632,1909632,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","",2026-07-10,"公司业务三部",,0E-20,"320012473821"
"2026010700000057","2021032500000663","无锡市南丰线缆有限公司","反向保理","表内",2026-01-07,2027-01-07,5,312509.66,312509.66,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2027-01-07,"公司业务三部",,0E-20,"320007841993"
"2026030200000043","2021033000001183","上海尧烨国际贸易有限公司","普通流动资金贷款","表内",2026-03-02,2026-05-31,6.1,713689.6,713689.6,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-05-31,"公司业务三部",,0E-20,"310008179009"
"2026022500000042","2020091100000180","上海珩琰实业有限公司","普通流动资金贷款","表内",2026-02-25,2026-05-26,6.1,786377.28,681278.78,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市崇明区","上海市崇明区","上海市崇明区","上海市崇明区","",2026-05-26,"公司业务三部",,105098.500000000000,"310006417514"
"2026020500000040","2020091100000180","上海珩琰实业有限公司","普通流动资金贷款","表内",2026-02-05,2026-05-06,6.1,792198.6,107452.3,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市崇明区","上海市崇明区","上海市崇明区","上海市崇明区","",2026-05-06,"公司业务三部",,684746.300000000000,"310006417514"
"2026040900000004","2020091100000180","上海珩琰实业有限公司","普通流动资金贷款","表内",2026-04-09,2026-07-08,6.1,1211126.04,1108085.49,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市崇明区","上海市崇明区","上海市崇明区","上海市崇明区","",2026-07-08,"公司业务三部",,103040.550000000000,"310006417514"
"2025052600000026","2021021000000444","安徽维尔特仪表线缆有限公司","反向保理","表内",2025-05-26,2026-05-26,5,877084.54,877084.54,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","",2026-05-26,"公司业务三部",,0E-20,"320007801357"
"2025092800000047","2021101900000019","湘信融资租赁有限公司","普通流动资金贷款","表内",2025-09-28,2026-09-28,5.95,70000000,70000000,"质押","一般贷款",0,"1-正常","周鑫（客户经理）","一般贷款","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",2025-12-21,"公司业务一部",,0E-20,"310012401276"
"PJ20231204000430","2021121500000001","上海祺涵贸易有限公司","银行承兑汇票","表外",2023-12-04,2024-06-04,100,50000,50000,"","票据",0,"1-正常","徐淑颖","","","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",,"公司业务四部",2024-06-04,0E-20,"310012495659"
"2026031300000222","2020111900000427","上海兵正供应链管理有限公司","普通流动资金贷款","表内",2026-03-13,2026-06-11,6.1,676720,366162.5,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-11,"公司业务三部",,310557.500000000000,"310007299353"
"2025061300000024","2021031900000526","江苏优奈特电缆有限公司","反向保理","表内",2025-06-13,2026-06-13,5,878431.98,878431.98,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省扬州市宝应县","江苏省扬州市宝应县","江苏省扬州市宝应县","江苏省扬州市宝应县","",2026-06-13,"公司业务三部",,0E-20,"320007803371"
"2026042300000004","2021033000001183","上海尧烨国际贸易有限公司","普通流动资金贷款","表内",2026-04-23,2026-07-22,6.1,153734.4,153734.4,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-07-22,"公司业务三部",,0E-20,"310008179009"
"2025071000000026","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2025-07-10,2026-07-10,5,2445324.06,2445324.06,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-07-10,"公司业务三部",,0E-20,"320007969112"
"2025061600000021","2021031900000526","江苏优奈特电缆有限公司","反向保理","表内",2025-06-16,2026-06-15,5,360922.21,360922.21,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省扬州市宝应县","江苏省扬州市宝应县","江苏省扬州市宝应县","江苏省扬州市宝应县","",2026-06-15,"公司业务三部",,0E-20,"320007803371"
"2026042300000005","2021033000001183","上海尧烨国际贸易有限公司","普通流动资金贷款","表内",2026-04-23,2026-07-22,6.1,172922.4,172922.4,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-07-22,"公司业务三部",,0E-20,"310008179009"
"2025052600000038","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2025-05-26,2026-05-26,5,861830.09,861830.09,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-05-26,"公司业务三部",,0E-20,"320007969112"
"2026042200000005","2021033000001183","上海尧烨国际贸易有限公司","普通流动资金贷款","表内",2026-04-22,2026-07-21,6.1,35088,35088,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-07-21,"公司业务三部",,0E-20,"310008179009"
"2026030600000060","2021033000001183","上海尧烨国际贸易有限公司","普通流动资金贷款","表内",2026-03-06,2026-06-04,6.1,620978.4,620978.4,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-04,"公司业务三部",,0E-20,"310008179009"
"2025061200000042","2021110500001046","江苏圆通电缆有限公司","反向保理","表内",2025-06-12,2026-06-12,5,102090.63,102090.63,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省扬州市高邮市","江苏省扬州市高邮市","江苏省扬州市高邮市","江苏省扬州市高邮市","",2026-06-12,"公司业务三部",,0E-20,"320012281268"
"2026012900000039","2021110600000931","江苏优昊电缆有限公司","反向保理","表内",2026-01-29,2027-01-29,5,566562,566562,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2027-01-29,"公司业务三部",,0E-20,"320012262768"
"2025071100000030","2021111900000857","江苏博牛线缆有限公司","反向保理","表内",2025-07-11,2026-07-11,5,762292.5,762292.5,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-07-11,"公司业务三部",,0E-20,"320012404400"
"2025070100000031","2021111800000464","盐城市瑞龙塑业有限公司","反向保理","表内",2025-07-01,2026-07-01,5,1906902.5,1906902.5,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","",2026-07-01,"公司业务三部",,0E-20,"320012473821"
"2026020500000039","2020091100000180","上海珩琰实业有限公司","普通流动资金贷款","表内",2026-02-05,2026-05-06,6.1,104956.72,104956.72,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市崇明区","上海市崇明区","上海市崇明区","上海市崇明区","",2026-05-06,"公司业务三部",,0E-20,"310006417514"
"2026030900000216","2020111900000427","上海兵正供应链管理有限公司","普通流动资金贷款","表内",2026-03-09,2026-06-07,6.1,46253.12,46253.12,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-06-07,"公司业务三部",,0E-20,"310007299353"
"2025061300000020","2023022200000001","江苏江帆电缆科技有限公司","反向保理","表内",2025-06-13,2026-06-13,5,475201.51,475201.51,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2026-06-13,"公司业务三部",,0E-20,"320015321283"
"2025050900000019","2023022200000008","无锡市岁丰新材料有限公司","反向保理","表内",2025-05-09,2026-05-09,5,654432,654432,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2026-05-09,"公司业务三部",,0E-20,"320015338194"
"PJ20230725000357","2023060700000010","上海奈曲家居有限公司","银行承兑汇票","表外",2023-07-25,2024-01-25,100,10000,10000,"","票据",0,"1-正常","秦婧婷","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务三部",2024-01-25,0E-20,"310015883260"
