借据流水号,客户编号,客户名称,业务品种,是否表外,起始日期,到期日期,年利率,放款金额,借据余额,附加担保方式,业务品种大类,逾期天数,五级分类,经办人,业务品种细分,核心企业名称,组织机构证注册地,营业执照证注册地,统一社会信息证注册地,注册地址,利率调整周期,下一结息日,所属部门HR,终结日期,还款金额,ECIF客户号
2025052900000032,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-05-29,2026-05-21,6,466784.24,466784.24,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-05-21,供应链金融部,,0E-20,200001072704
2025052000000025,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-05-20,2026-05-14,6,251630.46,251630.46,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-05-14,供应链金融部,,0E-20,200001072704
2025012000000011,2021041300000442,宿迁翔泽商贸有限公司,反向保理,表内,2025-01-20,2026-01-15,6.5,122918.21,122918.21,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,,2026-01-15,供应链金融部,,0E-20,320008214590
2024093000000035,2021041300000442,宿迁翔泽商贸有限公司,反向保理,表内,2024-09-30,2026-03-25,6.5,143097.36,143097.36,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,,2025-09-25,供应链金融部,,0E-20,320008214590
2024081300000043,2021041300000442,宿迁翔泽商贸有限公司,反向保理,表内,2024-08-13,2026-02-04,6.5,112704.9,112704.9,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,,2025-08-04,供应链金融部,,0E-20,320008214590
PJ20250529000014,2021052000000605,上海其尼国际贸易有限公司,银行承兑汇票,表外,2025-05-29,2025-11-29,100,10000000,10000000,,票据,0,1-正常,张子龙,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,310008883542
2025071400000032,2021060300000011,上海中硕钢铁贸易有限公司,普通流动资金贷款,表内,2025-07-14,2025-10-12,6.1,674807.2,640826.2,,一般贷款,0,1-正常,曲鑫（客户经理）,现货业务,上海中钢供应链有限公司,上海市宝山区,上海市宝山区,上海市宝山区,上海市宝山区,,2025-10-12,公司业务三部,,33981.000000000000,310009309813
2025082900000025,2021060300000011,上海中硕钢铁贸易有限公司,普通流动资金贷款,表内,2025-08-29,2025-11-27,6.1,569668,569668,,一般贷款,0,1-正常,曲鑫（客户经理）,现货业务,上海中钢供应链有限公司,上海市宝山区,上海市宝山区,上海市宝山区,上海市宝山区,,2025-11-27,公司业务三部,,0E-20,310009309813
2025042200000015,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2025-04-22,2026-04-17,6,607806.83,607806.83,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2026-04-17,供应链金融部,,0E-20,200001521312
2025022400000013,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2025-02-24,2026-02-19,6,147139.89,147139.89,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2026-02-19,供应链金融部,,0E-20,200001521312
2025032700000014,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2025-03-27,2026-03-21,6,123887.64,123887.64,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2026-03-21,供应链金融部,,0E-20,200001521312
2025031700000004,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2025-03-17,2026-03-09,6,117446.71,117446.71,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2026-03-09,供应链金融部,,0E-20,200001521312
2024120900000013,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2024-12-09,2025-12-04,6.5,117336.59,117336.59,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2025-12-04,供应链金融部,,0E-20,200001521312
2024093000000052,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-30,2025-09-25,6.5,119979.46,119979.46,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-09-25,供应链金融部,,0E-20,200001697732
2024100800000061,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-10-08,2025-10-03,6.5,117217.1,117217.1,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-10-03,供应链金融部,,0E-20,200001697732
2024091800000001,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-18,2026-03-09,6.5,114497.55,114497.55,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-09-09,供应链金融部,,0E-20,200001697732
2025031900000021,2018053000000005,西安源石物资有限公司,反向保理,表内,2025-03-19,2026-03-13,6,42219.32,42219.32,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-03-13,供应链金融部,,0E-20,200001697732
2025030500000001,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2025-03-05,2026-02-27,6,256528.94,256528.94,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2026-02-27,供应链金融部,,0E-20,200001521312
2024120600000016,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2024-12-06,2025-12-01,6.5,115487.53,115487.53,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2025-12-01,供应链金融部,,0E-20,200001521312
2024073100000009,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-07-31,2026-01-25,6.5,99931.47,99931.47,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-07-25,供应链金融部,,0E-20,200001697732
2024092000000004,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-20,2026-03-13,6.5,113677.11,113677.11,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-09-13,供应链金融部,,0E-20,200001697732
2024090500000008,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-05,2026-02-28,6.5,112789.69,112789.69,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-08-30,供应链金融部,,0E-20,200001697732
2024081400000009,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-08-14,2026-02-08,6.5,231321.03,231321.03,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-08-08,供应链金融部,,0E-20,200001697732
2025040100000021,2021061500000677,日照小马奔腾供应链有限公司,反向保理,表内,2025-04-01,2026-03-27,6,123432.96,123432.96,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,,2026-03-27,供应链金融部,,0E-20,320008950271
2025032400000009,2021061500000677,日照小马奔腾供应链有限公司,反向保理,表内,2025-03-24,2026-03-16,6,131888.53,131888.53,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,,2026-03-16,供应链金融部,,0E-20,320008950271
2025051900000042,2021071400000333,广州德信钢铁有限公司,反向保理,表内,2025-05-19,2026-05-14,6,15641.8,15641.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,广东省广州市黄埔区,广东省广州市黄埔区,广东省广州市黄埔区,广东省广州市黄埔区,,2026-05-14,供应链金融部,,0E-20,320009532774
2024090500000007,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-05,2026-02-28,6.5,108556.95,108556.95,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-08-30,供应链金融部,,0E-20,200001697732
2025051500000024,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-05-15,2026-05-10,6,140019.72,140019.72,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-05-10,供应链金融部,,0E-20,200001805176
2025012300000008,2018100900000009,郑州郑发钢铁有限公司,反向保理,表内,2025-01-23,2026-01-17,6.5,114930.82,114930.82,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市,,2026-01-17,供应链金融部,,0E-20,200002022603
PJ20250304000031,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000022,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000018,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
2024081400000011,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-08-14,2026-02-08,6.5,231932.23,231932.23,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-08-08,供应链金融部,,0E-20,200001697732
2024112600000011,2017121900000025,西安航城物资有限公司,反向保理,表内,2024-11-26,2025-11-21,6.5,388780.99,388780.99,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-11-21,供应链金融部,,0E-20,200001072704
2024121700000014,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2024-12-17,2025-12-12,6.5,385497.83,385497.83,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2025-12-12,供应链金融部,,0E-20,200001521312
2024120600000017,2018040900000180,陕西盛兴金属材料有限公司,反向保理,表内,2024-12-06,2025-12-01,6.5,115301.37,115301.37,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市,,2025-12-01,供应链金融部,,0E-20,200001521312
2024122400000001,2020080500000033,陕西华通弘实业有限公司,反向保理,表内,2024-12-24,2025-12-18,6.5,119566.55,119566.55,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,,2025-12-18,供应链金融部,,0E-20,320006137141
2025052000000031,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-05-20,2026-05-14,6,220044.72,220044.72,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-05-14,供应链金融部,,0E-20,200001072704
2025071400000029,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-07-14,2026-07-05,6,106545.56,106545.56,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-07-05,供应链金融部,,0E-20,200001072704
2024092000000003,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-09-20,2026-03-13,6.5,115463.4,115463.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-09-13,供应链金融部,,0E-20,200001697732
2024081400000010,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-08-14,2026-02-08,6.5,115518.3,115518.3,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-08-08,供应链金融部,,0E-20,200001697732
2024080200000001,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-08-02,2026-01-26,6.5,160189.72,160189.72,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-07-26,供应链金融部,,0E-20,200001697732
2024100800000063,2018053000000005,西安源石物资有限公司,反向保理,表内,2024-10-08,2025-10-03,6.5,396664.91,396664.91,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2025-10-03,供应链金融部,,0E-20,200001697732
2025052200000022,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-05-22,2026-05-17,6,17536.2,17536.2,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-05-17,供应链金融部,,0E-20,200001805176
2025032700000031,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-03-27,2026-03-22,6,95565.28,95565.28,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-03-22,供应链金融部,,0E-20,200001805176
2025053000000022,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-05-30,2026-05-25,6,128244.9,128244.9,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-05-25,供应链金融部,,0E-20,200001805176
2025050900000025,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-05-09,2026-05-04,6,96916.67,96916.67,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-05-04,供应链金融部,,0E-20,200001805176
2024100900000025,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2024-10-09,2025-10-04,6.5,120783.88,120783.88,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2025-10-04,供应链金融部,,0E-20,200001805176
2025032400000014,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-03-24,2026-03-19,6,21184.36,21184.36,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-03-19,供应链金融部,,0E-20,200001805176
2024092700000005,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2024-09-27,2025-09-22,6.5,115631.9,115631.9,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2025-09-22,供应链金融部,,0E-20,200001805176
2025040800000010,2018060800000007,安徽众乘物资有限公司,反向保理,表内,2025-04-08,2026-04-03,6,182367.52,182367.52,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市,,2026-04-03,供应链金融部,,0E-20,200001805176
PJ20250304000027,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250321000008,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-21,2025-09-21,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000029,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000020,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250625000022,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-06-25,2025-12-25,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000025,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000021,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
2024122000000023,2020080500000033,陕西华通弘实业有限公司,反向保理,表内,2024-12-20,2025-12-15,6.5,134469.68,134469.68,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,,2025-12-15,供应链金融部,,0E-20,320006137141
